"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"effsize","/home/tmichele/projects/NWT/libraryNWT/4.0","0.8.1",NA,NA,NA,NA
"ellipsis","/home/tmichele/projects/NWT/libraryNWT/4.0","0.3.1",NA,NA,NA,NA
"EnvStats","/home/tmichele/projects/NWT/libraryNWT/4.0","2.4.0",NA,NA,NA,NA
"evaluate","/home/tmichele/projects/NWT/libraryNWT/4.0","0.14",NA,NA,NA,NA
"fansi","/home/tmichele/projects/NWT/libraryNWT/4.0","0.4.2",NA,NA,NA,NA
"farver","/home/tmichele/projects/NWT/libraryNWT/4.0","2.0.3",NA,NA,NA,NA
"fastdigest","/home/tmichele/projects/NWT/libraryNWT/4.0","0.6-3",NA,NA,NA,NA
"fasterize","/home/tmichele/projects/NWT/libraryNWT/4.0","1.0.3",NA,NA,NA,NA
"fastmap","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1.0",NA,NA,NA,NA
"fastmatch","/home/tmichele/projects/NWT/libraryNWT/4.0","1.1-0",NA,NA,NA,NA
"fastshp","/home/tmichele/projects/NWT/libraryNWT/4.0","0.1-2","fastshp","s-u","3e0eb833f6292013423d93c71f7c26f6dc2d70f1","3e0eb833f6292013423d93c71f7c26f6dc2d70f1"
"ff","/home/tmichele/projects/NWT/libraryNWT/4.0","4.0.4",NA,NA,NA,NA
"ffbase","/home/tmichele/projects/NWT/libraryNWT/4.0","0.13.1",NA,NA,NA,NA
"fireSenseUtils","/home/tmichele/projects/NWT/libraryNWT/4.0","0.0.0.9028","fireSenseUtils","PredictiveEcology","NWTworking","b9f22782bea1a1836775f8529bf6b5ad14834aeb"
"forcats","/home/tmichele/projects/NWT/libraryNWT/4.0","0.5.1",NA,NA,NA,NA
"foreach","/home/tmichele/projects/NWT/libraryNWT/4.0","1.5.1",NA,NA,NA,NA
"foreign","/home/tmichele/projects/NWT/libraryNWT/4.0","0.8-81",NA,NA,NA,NA
"Formula","/home/tmichele/projects/NWT/libraryNWT/4.0","1.2-4",NA,NA,NA,NA
"fpCompare","/home/tmichele/projects/NWT/libraryNWT/4.0","0.2.3",NA,NA,NA,NA
"fs","/home/tmichele/projects/NWT/libraryNWT/4.0","1.5.0",NA,NA,NA,NA
"future","/home/tmichele/projects/NWT/libraryNWT/4.0","1.21.0",NA,NA,NA,NA
"future.apply","/home/tmichele/projects/NWT/libraryNWT/4.0","1.7.0",NA,NA,NA,NA
