"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"LandR","packages","0.0.7","LandR","PredictiveEcology","NWTworking","a3944cf3ec3f1e1cae9c9ec054c47828a82ab378"
"LandR.CS","packages","0.0.2.0002","LandR.CS","ianmseddy","52a035889f1f4e929f3ce16ab52390f5e7d2d211","52a035889f1f4e929f3ce16ab52390f5e7d2d211"
"later","packages","1.1.0.1",NA,NA,NA,NA
"latticeExtra","packages","0.6-29",NA,NA,NA,NA
"lava","packages","1.6.7",NA,NA,NA,NA
"lazyeval","packages","0.2.2",NA,NA,NA,NA
"leaflet","packages","2.0.3",NA,NA,NA,NA
"leaflet.providers","packages","1.9.0",NA,NA,NA,NA
"lifecycle","packages","0.2.0",NA,NA,NA,NA
"lintr","packages","2.0.1.9000","lintr","jimhester","6d6f837b294fbb21d964807273965e2799281e24","6d6f837b294fbb21d964807273965e2799281e24"
"listenv","packages","0.8.0",NA,NA,NA,NA
"littler","packages","0.3.11",NA,NA,NA,NA
"lme4","packages","1.1-23",NA,NA,NA,NA
"logging","packages","0.10-108",NA,NA,NA,NA
"lubridate","packages","1.7.9",NA,NA,NA,NA
"magick","packages","2.4.0",NA,NA,NA,NA
"magrittr","packages","1.5",NA,NA,NA,NA
"map","packages","0.0.1","map","PredictiveEcology","b5f041e37f79f53d22e63172c6c9cece4d7739ba","b5f041e37f79f53d22e63172c6c9cece4d7739ba"
"mapproj","packages","1.2.7",NA,NA,NA,NA
"maps","packages","3.3.0",NA,NA,NA,NA
"maptools","packages","1.0-2",NA,NA,NA,NA
"markdown","packages","1.1",NA,NA,NA,NA
"memoise","packages","1.1.0",NA,NA,NA,NA
"merTools","packages","0.5.2",NA,NA,NA,NA
"microbenchmark","packages","1.4-7",NA,NA,NA,NA
"mime","packages","0.9",NA,NA,NA,NA
"miniUI","packages","0.1.1.1",NA,NA,NA,NA
"minqa","packages","1.2.4",NA,NA,NA,NA
"ModelMetrics","packages","1.2.2.2",NA,NA,NA,NA
"MuMIn","packages","1.43.17",NA,NA,NA,NA
"munsell","packages","0.5.0",NA,NA,NA,NA
"mvtnorm","packages","1.1-1",NA,NA,NA,NA
"nloptr","packages","1.2.2.2",NA,NA,NA,NA
"nortest","packages","1.0-4",NA,NA,NA,NA
"numDeriv","packages","2016.8-1.1",NA,NA,NA,NA
"openssl","packages","1.4.2",NA,NA,NA,NA
"pals","packages","1.6",NA,NA,NA,NA
"pemisc","packages","0.0.2.9001","pemisc","PredictiveEcology","5ae26054f42d48701cd3be87ba66662193891fe8","5ae26054f42d48701cd3be87ba66662193891fe8"
"peutils","packages","0.1.0","peutils","PredictiveEcology","440c37f4cee039b860025bb0a9ceddd68d81739e","440c37f4cee039b860025bb0a9ceddd68d81739e"
"pillar","packages","1.4.6",NA,NA,NA,NA
"pkgbuild","packages","1.1.0",NA,NA,NA,NA
"pkgconfig","packages","2.0.3",NA,NA,NA,NA
"pkgload","packages","1.1.0",NA,NA,NA,NA
"plogr","packages","0.2.0",NA,NA,NA,NA
"plyr","packages","1.8.6",NA,NA,NA,NA
"png","packages","0.1-7",NA,NA,NA,NA
"praise","packages","1.0.0",NA,NA,NA,NA
"prettyunits","packages","1.1.1",NA,NA,NA,NA
"pROC","packages","1.16.2",NA,NA,NA,NA
"processx","packages","3.4.3",NA,NA,NA,NA
"prodlim","packages","2019.11.13",NA,NA,NA,NA
"promises","packages","1.1.1",NA,NA,NA,NA
"pryr","packages","0.1.4",NA,NA,NA,NA
"ps","packages","1.3.3",NA,NA,NA,NA
"purrr","packages","0.3.4",NA,NA,NA,NA
"qs","packages","0.22.1",NA,NA,NA,NA
"quickPlot","packages","0.1.6",NA,NA,NA,NA
"R.methodsS3","packages","1.8.0",NA,NA,NA,NA
"R.oo","packages","1.23.0",NA,NA,NA,NA
"R.utils","packages","2.9.2",NA,NA,NA,NA
"R6","packages","2.4.1",NA,NA,NA,NA
"RandomFields","packages","3.3.8",NA,NA,NA,NA
"RandomFieldsUtils","packages","0.5.3",NA,NA,NA,NA
"RApiSerialize","packages","0.1.0",NA,NA,NA,NA
"raster","packages","3.3-7",NA,NA,NA,NA
"rasterVis","packages","0.48",NA,NA,NA,NA
"rcartocolor","packages","2.0.0",NA,NA,NA,NA
"rcmdcheck","packages","1.3.3",NA,NA,NA,NA
"RColorBrewer","packages","1.1-2",NA,NA,NA,NA
"Rcpp","packages","1.0.5",NA,NA,NA,NA
"RcppArmadillo","packages","0.9.900.1.0",NA,NA,NA,NA
"RcppEigen","packages","0.3.3.7.0",NA,NA,NA,NA
"RcppParallel","packages","5.0.2",NA,NA,NA,NA
"RCurl","packages","1.98-1.2",NA,NA,NA,NA
"readr","packages","1.3.1",NA,NA,NA,NA
"recipes","packages","0.1.13",NA,NA,NA,NA
"rematch2","packages","2.1.2",NA,NA,NA,NA
"remotes","packages","2.1.1",NA,NA,NA,NA
"reproducible","packages","1.2.1.9000","reproducible","PredictiveEcology","e8e1a726c3ae6ceae9233dc51195d5e51d1c7211","e8e1a726c3ae6ceae9233dc51195d5e51d1c7211"
"Require","packages","0.0.8",NA,NA,NA,NA
"reshape2","packages","1.4.4",NA,NA,NA,NA
"rex","packages","1.2.0",NA,NA,NA,NA
"rgdal","packages","1.5-12",NA,NA,NA,NA
"rgeos","packages","0.5-3",NA,NA,NA,NA
"rlang","packages","0.4.7",NA,NA,NA,NA
"rmarkdown","packages","2.3",NA,NA,NA,NA
"roxygen2","packages","7.1.1",NA,NA,NA,NA
"rprojroot","packages","1.3-2",NA,NA,NA,NA
"RSQLite","packages","2.2.0",NA,NA,NA,NA
"rstudioapi","packages","0.11",NA,NA,NA,NA
"rvcheck","packages","0.1.8",NA,NA,NA,NA
"rversions","packages","2.0.2",NA,NA,NA,NA
"scales","packages","1.1.1",NA,NA,NA,NA
"scam","packages","1.2-3",NA,NA,NA,NA
"sessioninfo","packages","1.1.1",NA,NA,NA,NA
"sf","packages","0.9-5",NA,NA,NA,NA
"shiny","packages","1.5.0",NA,NA,NA,NA
"showtext","packages","0.8-1",NA,NA,NA,NA
"showtextdb","packages","3.0",NA,NA,NA,NA
"sourcetools","packages","0.1.7",NA,NA,NA,NA
"sp","packages","1.4-2",NA,NA,NA,NA
"SpaDES","packages","2.0.4",NA,NA,NA,NA
"SpaDES.addins","packages","0.1.2",NA,NA,NA,NA
"SpaDES.core","packages","1.0.2",NA,NA,NA,NA
"SpaDES.experiment","packages","0.0.1","SpaDES.experiment","PredictiveEcology","master","d3226a92bc70a4e8ebd5f41f76808e6c2c29361d"
"SpaDES.tools","packages","0.3.6",NA,NA,NA,NA
"spelling","packages","2.1",NA,NA,NA,NA
"SQUAREM","packages","2020.3",NA,NA,NA,NA
"statmod","packages","1.4.34",NA,NA,NA,NA
"stringfish","packages","0.14.2",NA,NA,NA,NA
"stringi","packages","1.4.6",NA,NA,NA,NA
"stringr","packages","1.4.0",NA,NA,NA,NA
"SuppDists","packages","1.1-9.5",NA,NA,NA,NA
"sys","packages","3.3",NA,NA,NA,NA
"sysfonts","packages","0.8.1",NA,NA,NA,NA
"testthat","packages","2.3.2",NA,NA,NA,NA
"tibble","packages","3.0.3",NA,NA,NA,NA
"tictoc","packages","1.0",NA,NA,NA,NA
"tidyr","packages","1.1.0",NA,NA,NA,NA
"tidyselect","packages","1.1.0",NA,NA,NA,NA
"tiler","packages","0.2.4",NA,NA,NA,NA
"timeDate","packages","3043.102",NA,NA,NA,NA
"TimeWarp","packages","1.0.15",NA,NA,NA,NA
"tinytex","packages","0.24",NA,NA,NA,NA
"TMB","packages","1.7.16",NA,NA,NA,NA
"trust","packages","0.1-8",NA,NA,NA,NA
"units","packages","0.6-7",NA,NA,NA,NA
