"","Polygon","area","average_femaleSurvival","average_recruitment","stdErr_femaleSurvival","stdErr_recruitment","annualLambda","annualLambdaMax","annualLambdaMin","femSurvMod_recrMod","climateModel","Replicate","Year","minRib","maxRib","averageannualLambda"
"686","GSA North","metaHeards",0.862994051590464,0.298651054707252,0.0398514750380819,0.114243833735125,1.01448213075651,1.2918170836559,0.859711936975532,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2051",0.805716830189329,1.2918170836559,1.01266675452891
"687","GSA South","metaHeards",0.862673643431641,0.244212448854416,0.0433067094565802,0.0980274370778581,0.982662900040246,1.20707935499782,0.793280234569235,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2051",0.792016969180305,1.22687623617508,0.98594676897588
"688","GSA South","metaHeards",0.862673643431641,0.244212448854416,0.0433067094565802,0.0980274370778581,0.982662900040246,1.20707935499782,0.793280234569235,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2051",0.792016969180305,1.22687623617508,0.98594676897588
"689","Hay River Lowlands","metaHeards",0.860089892313106,0.220275584078949,0.0447518250998537,0.0832661604032748,0.966542780015735,1.15406851949931,0.791449210412255,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2051",0.780751598050362,1.22009161399042,0.96826077492707
"690","Hay River Lowlands","metaHeards",0.860089892313106,0.220275584078949,0.0447518250998537,0.0832661604032748,0.966542780015735,1.15406851949931,0.791449210412255,"Johnson_M1_National::Johnson_M4_National","CCSM4","run2","2051",0.780751598050362,1.22009161399042,0.96826077492707
"691","Dehcho North_v2","metaHeards",0.858292505176448,0.237822044767087,0.0474941321002229,0.0978671032491499,0.974126934941715,1.1981691035356,0.814206424275468,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.800147666072019,1.20442307829643,0.974729544929635
"692","Dehcho North_v2","metaHeards",0.858292505176448,0.237822044767087,0.0474941321002229,0.0978671032491499,0.974126934941715,1.1981691035356,0.814206424275468,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.800147666072019,1.20442307829643,0.974729544929635
"693","Dehcho South_v2","metaHeards",0.84612666089231,0.195548761981291,0.0423797686933574,0.0824414796095717,0.937821585936962,1.13694317470395,0.785250595671691,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.738174326713988,1.20307058594039,0.937108889118104
"694","Dehcho South_v2","metaHeards",0.84612666089231,0.195548761981291,0.0423797686933574,0.0824414796095717,0.937821585936962,1.13694317470395,0.785250595671691,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.738174326713988,1.20307058594039,0.937108889118104
"695","GSA North","metaHeards",0.859354701447158,0.298651054707252,0.0352549469883388,0.114243833735125,1.01020393708745,1.28305495939307,0.861178477002856,"Johnson_M4_National::Johnson_M4_National","CCSM4","run2","2051",0.789716548744789,1.28305495939307,1.00865520944536
